module,title,author,summary,themes,goodreads_rating,goodreads_rating_checked_at,source_url,notes
autobiography_memoir,The Last Lecture,Randy Pausch and Jeffrey Zaslow,"A professor facing terminal illness shares lessons on childhood dreams, family, and how to live intentionally.","mortality;meaning;family;legacy;resilience",,,https://www.goodreads.com/book/show/2318271.The_Last_Lecture,Good fit after When Breath Becomes Air and Man's Search for Meaning
autobiography_memoir,Becoming,Michelle Obama,"A reflective memoir about identity, family, public life, ambition, and becoming oneself across changing seasons.","identity;family;purpose;resilience;womanhood",,,https://www.goodreads.com/book/show/38746485-becoming,Accessible and reflective memoir
autobiography_memoir,The Choice,Edith Eger,"A Holocaust survivor and psychologist explores trauma, healing, choice, and inner freedom.","trauma;healing;choice;freedom;resilience",,,https://www.goodreads.com/book/show/30753738-the-choice,Strong match for meaning and healing
self_help_personal_growth,Essentialism,Greg McKeown,"A practical book about choosing fewer things deliberately and focusing on what matters most.","focus;clarity;priority;purpose;systems",,,https://www.goodreads.com/book/show/18077875-essentialism,Good follow-up to Deep Work
self_help_personal_growth,The Untethered Soul,Michael A. Singer,"A spiritual self-growth book about awareness, inner freedom, and releasing mental patterns.","awareness;freedom;inner life;spiritual growth",,,https://www.goodreads.com/book/show/1963638.The_Untethered_Soul,Bridges spirituality and personal growth
self_help_personal_growth,Designing Your Life,Bill Burnett and Dave Evans,"A practical design-thinking approach to building a meaningful and satisfying life.","purpose;life design;experiments;clarity;career",,,https://www.goodreads.com/book/show/26046333-designing-your-life,Practical and reflective
technical,Machine Learning Design Patterns,Valliappa Lakshmanan Sara Robinson and Michael Munn,"A practical guide to reusable patterns for building production machine learning systems.","machine learning;system design;production ML;architecture",,,https://www.goodreads.com/book/show/55339494-machine-learning-design-patterns,Good applied AI systems candidate
technical,Designing Machine Learning Systems,Chip Huyen,"A practical book about designing, deploying, and maintaining machine learning systems in production.","ML systems;deployment;data;monitoring;architecture",,,https://www.goodreads.com/book/show/60783772-designing-machine-learning-systems,Strong technical next step after data engineering
technical,AI Engineering,Chip Huyen,"A practical guide to building applications with foundation models, including evaluation, retrieval, and production concerns.","AI engineering;LLMs;RAG;evaluation;production",,,https://www.goodreads.com/book/show/210440995-ai-engineering,Directly relevant to this project
poetry_reflective_writing,The Sun and Her Flowers,Rupi Kaur,"A poetry collection about growth, healing, ancestry, love, loss, and self-renewal.","healing;identity;love;growth;accessible poetry",,,https://www.goodreads.com/book/show/35606560-the-sun-and-her-flowers,Accessible reflective poetry
poetry_reflective_writing,Devotions,Mary Oliver,"A selected collection of poems on attention, nature, wonder, mortality, and the sacred ordinary.","attention;nature;wonder;mortality;spiritual reflection",,,https://www.goodreads.com/book/show/34272476-devotions,Good match for reflective and spiritual reading
poetry_reflective_writing,The Prophet,Kahlil Gibran,"A poetic philosophical classic offering meditations on love, work, freedom, sorrow, and self-knowledge.","poetic philosophy;love;freedom;sorrow;wisdom",,,https://www.goodreads.com/book/show/2547.The_Prophet,Bridges poetry philosophy and spirituality
philosophy,The Practicing Stoic,Ward Farnsworth,"A clear thematic guide to Stoic philosophy and its practical use in everyday life.","stoicism;ethics;resilience;daily life;practical philosophy",,,https://www.goodreads.com/book/show/37886498-the-practicing-stoic,Readable practical philosophy
philosophy,The Art of Living,Epictetus and Sharon Lebell,"A modern, accessible rendering of Epictetus focused on character, freedom, and inner discipline.","stoicism;freedom;character;discipline;meaning",,,https://www.goodreads.com/book/show/24618.The_Art_of_Living,Short practical philosophy
philosophy,The Consolations of Philosophy,Alain de Botton,"A readable tour of philosophers and how their ideas can help with ordinary human struggles.","philosophy;comfort;suffering;meaning;daily life",,,https://www.goodreads.com/book/show/23419.The_Consolations_of_Philosophy,Accessible and non-academic
spirituality,The Seat of the Soul,Gary Zukav,"A spiritual book about intention, consciousness, authentic power, and inner growth.","consciousness;intention;spiritual growth;authentic power",,,https://www.goodreads.com/book/show/119109.The_Seat_of_the_Soul,Good fit for metaphysical spirituality
spirituality,The Power of Now,Eckhart Tolle,"A spiritual guide to presence, awareness, and freedom from identification with thought.","presence;awareness;consciousness;inner freedom",,,https://www.goodreads.com/book/show/6708.The_Power_of_Now,Strong match for spiritual growth
spirituality,The Seven Spiritual Laws of Success,Deepak Chopra,"A concise spirituality book connecting success with intention, giving, detachment, and purpose.","spiritual laws;intention;purpose;detachment;abundance",,,https://www.goodreads.com/book/show/773951.The_Seven_Spiritual_Laws_of_Success,Concise and aligned with spirituality/self-help
