title,author,genre,status,rating,notes
Man's Search for Meaning,Viktor E. Frankl,memoir/self-help,read,,Existential meaning; resilience; suffering; purpose
When Breath Becomes Air,Paul Kalanithi,memoir,read,,Reflective memoir; mortality; medicine; meaning
The Courage to Go Forward,David Cordani and Dick Traum,self-help,read,,Resilience; courage; recovery; forward motion
Invisible Woman,unknown,social nonfiction,read,,Ambiguous title/author; likely gender/data/social systems theme
The Neville Collection,Neville Goddard,spirituality/self-help,read,,Manifestation; consciousness; metaphysical writing
You Can Heal Your Life,Louise Hay,self-help/spirituality,read,,Healing; affirmations; mind-body connection
The Secret,Rhonda Byrne,self-help/spirituality,read,,Law of attraction; manifestation
The Magic,Rhonda Byrne,self-help/spirituality,read,,Gratitude; manifestation practice
The Four Agreements,Don Miguel Ruiz,self-help/spirituality,read,,Personal freedom; practical wisdom; agreements
Ikigai,Hector Garcia and Francesc Miralles,self-help,read,,Purpose; longevity; Japanese philosophy
Mind Platter,Najwa Zebian,poetry/reflection,read,,Short reflective pieces; healing; identity
The Alchemist,Paulo Coelho,fiction/spirituality,read,,Quest; destiny; personal legend; spiritual fable
On Writing Well,William Zinsser,writing,read,,Clear nonfiction writing; craft; communication
Bird by Bird,Anne Lamott,writing,read,,Writing practice; creativity; process; encouragement
A Course in Miracles,Helen Schucman,spirituality,read,,Spiritual teaching; forgiveness; perception
Nonviolent Communication,Marshall B. Rosenberg,communication/self-help,read,,Empathy; conflict resolution; communication
Deep Work,Cal Newport,productivity/self-help,read,,Focus; attention; meaningful work
Angels in My Hair,Lorna Byrne,memoir/spirituality,read,,Spiritual memoir; angels; faith
The Simple Path to Wealth,J. L. Collins,personal finance,read,,Investing; financial independence; simple wealth strategy
101 Essays That Will Change The Way You Think,Brianna Wiest,self-help/essays,read,,Reflective essays; mindset; emotional growth
The Boy the Mole the Fox and the Horse,Charlie Mackesy,illustrated philosophy,read,,Gentle wisdom; friendship; hope
Designing Data-Intensive Applications,Martin Kleppmann,technical,read,,Distributed systems; data architecture; reliability
Fundamentals of Data Engineering,Joe Reis and Matt Housley,technical,read,,Data engineering; pipelines; architecture
Becoming an AI Orchestrator,unknown,technical,read,,Ambiguous author; AI orchestration; applied AI
